phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P5_full_matrix,planning_bots5_mid_basic,382904156,planning,basic,5,mid,1,0,1200,0.2818,386,61,5326.97,0.0529,5.2889323234558105
P5_full_matrix,planning_bots5_mid_basic,250971180,planning,basic,5,mid,1,0,1200,0.2818,250,22,5176.74,0.0544,5.3561694622039795
P5_full_matrix,planning_bots5_mid_basic,1386434511,planning,basic,5,mid,1,0,1200,0.3182,403,44,5635.57,0.0565,6.129825592041016
P5_full_matrix,planning_bots5_mid_basic,1381020890,planning,basic,5,mid,1,0,1200,0.3182,407,48,5892.75,0.054,5.21823525428772
P5_full_matrix,planning_bots5_mid_basic,934252952,planning,basic,5,mid,1,0,1200,0.2636,179,29,4567.41,0.0577,4.7754364013671875
P5_full_matrix,planning_bots5_mid_basic,1291883784,planning,basic,5,mid,1,0,1200,0.3364,432,32,6313.21,0.0533,4.807767629623413
P5_full_matrix,planning_bots5_mid_basic,393193897,planning,basic,5,mid,1,0,1200,0.2636,624,35,4704.1,0.056,5.674895763397217
P5_full_matrix,planning_bots5_mid_basic,1322199815,planning,basic,5,mid,1,0,1200,0.3091,313,13,5481.75,0.0564,6.257026195526123
P5_full_matrix,planning_bots5_mid_basic,2107992745,planning,basic,5,mid,1,0,1200,0.3818,504,33,5510.46,0.0693,7.932575225830078
P5_full_matrix,planning_bots5_mid_basic,201118692,planning,basic,5,mid,1,0,1200,0.2545,251,21,6136.0,0.0415,8.873887062072754
P5_full_matrix,planning_bots5_mid_basic,506080976,planning,basic,5,mid,1,0,1200,0.2,126,18,4263.94,0.0469,8.79202389717102
P5_full_matrix,planning_bots5_mid_basic,182079326,planning,basic,5,mid,1,0,1200,0.2,173,14,5366.6,0.0373,4.921843767166138
P5_full_matrix,planning_bots5_mid_basic,965465116,planning,basic,5,mid,1,0,1200,0.3545,963,39,5798.46,0.0611,6.418694019317627
P5_full_matrix,planning_bots5_mid_basic,1864318862,planning,basic,5,mid,1,0,1200,0.2545,499,36,4768.61,0.0534,6.161267995834351
P5_full_matrix,planning_bots5_mid_basic,58045661,planning,basic,5,mid,1,0,1200,0.2455,532,28,5168.24,0.0475,7.687180042266846
P5_full_matrix,planning_bots5_mid_basic,1545276947,planning,basic,5,mid,1,0,1200,0.4,257,11,5363.31,0.0746,11.060810804367065
P5_full_matrix,planning_bots5_high_none,572421031,planning,none,5,high,1,0,1200,0.3273,393,14,5886.19,0.0556,5.930720329284668
P5_full_matrix,planning_bots5_high_none,1115257267,planning,none,5,high,1,0,1200,0.2,258,22,5370.38,0.0372,7.056444406509399
P5_full_matrix,planning_bots5_high_none,1855337120,planning,none,5,high,1,0,1200,0.2818,247,48,5577.99,0.0505,6.711698770523071
P5_full_matrix,planning_bots5_high_none,1664059295,planning,none,5,high,1,0,1200,0.3455,335,30,6343.9,0.0545,6.125970125198364
P5_full_matrix,planning_bots5_high_none,1698774521,planning,none,5,high,1,0,1200,0.2636,153,33,6101.67,0.0432,6.388062238693237
P5_full_matrix,planning_bots5_high_none,379408964,planning,none,5,high,1,0,1200,0.4364,412,58,5333.81,0.0818,6.107784271240234
P5_full_matrix,planning_bots5_high_none,1793448577,planning,none,5,high,1,0,1200,0.3727,244,13,6481.75,0.0575,6.010765790939331
P5_full_matrix,planning_bots5_high_none,991270961,planning,none,5,high,1,0,1200,0.3727,477,22,5744.42,0.0649,5.762186765670776
P5_full_matrix,planning_bots5_high_none,723047807,planning,none,5,high,1,0,1200,0.3091,289,18,5710.37,0.0541,7.958264112472534
P5_full_matrix,planning_bots5_high_none,1120761839,planning,none,5,high,1,0,1200,0.2909,245,20,4605.61,0.0632,6.40183424949646
P5_full_matrix,planning_bots5_high_none,512617532,planning,none,5,high,1,0,1200,0.2636,328,20,5804.73,0.0454,6.355162858963013
P5_full_matrix,planning_bots5_high_none,1308948903,planning,none,5,high,1,0,1200,0.3,226,34,5975.6,0.0502,6.865402698516846
P5_full_matrix,planning_bots5_high_none,834163807,planning,none,5,high,1,0,1200,0.3364,405,72,5822.54,0.0578,5.985918760299683
P5_full_matrix,planning_bots5_high_none,1018680225,planning,none,5,high,1,0,1200,0.3545,557,61,6206.11,0.0571,7.190375566482544
P5_full_matrix,planning_bots5_high_none,185469029,planning,none,5,high,1,0,1200,0.3455,134,19,5894.37,0.0586,6.056791067123413
P5_full_matrix,planning_bots5_high_none,1142747925,planning,none,5,high,1,0,1200,0.1909,201,37,5025.46,0.038,6.758429288864136
P5_full_matrix,planning_bots5_high_none,349459176,planning,none,5,high,1,0,1200,0.2455,221,40,5520.52,0.0445,6.365279912948608
P5_full_matrix,planning_bots5_high_none,1993981020,planning,none,5,high,1,0,1200,0.3273,115,19,5667.26,0.0577,6.2288877964019775
P5_full_matrix,planning_bots5_high_none,1435812310,planning,none,5,high,1,0,1200,0.2455,235,13,5485.22,0.0447,6.413449287414551
P5_full_matrix,planning_bots5_high_none,47289967,planning,none,5,high,1,0,1200,0.4636,169,15,6595.78,0.0703,6.209272623062134
P5_full_matrix,planning_bots5_high_none,915648607,planning,none,5,high,1,0,1200,0.3364,34,1,6011.62,0.056,6.291773319244385
P5_full_matrix,planning_bots5_high_none,785678059,planning,none,5,high,1,0,1200,0.2091,335,10,5318.65,0.0393,6.677340030670166
P5_full_matrix,planning_bots5_high_none,1017160625,planning,none,5,high,1,0,1200,0.2182,615,16,5626.04,0.0388,6.726595640182495
P5_full_matrix,planning_bots5_high_none,791335945,planning,none,5,high,1,0,1200,0.2818,266,44,5510.55,0.0511,10.713226795196533
P5_full_matrix,planning_bots5_high_none,1432668540,planning,none,5,high,1,0,1200,0.2818,475,17,5449.6,0.0517,6.089963912963867
P5_full_matrix,planning_bots5_high_none,1658877247,planning,none,5,high,1,0,1200,0.3455,599,40,6004.93,0.0575,6.037489652633667
P5_full_matrix,planning_bots5_high_none,2110740559,planning,none,5,high,1,0,1200,0.3727,470,32,5965.6,0.0625,6.208827495574951
P5_full_matrix,planning_bots5_high_none,774318476,planning,none,5,high,1,0,1200,0.3182,282,22,6221.14,0.0511,6.32373309135437
P5_full_matrix,planning_bots5_high_none,1854002677,planning,none,5,high,1,0,1200,0.3182,300,37,6356.84,0.0501,6.067434072494507
P5_full_matrix,planning_bots5_high_none,1364760910,planning,none,5,high,1,0,1200,0.3091,466,46,6222.94,0.0497,7.607511520385742
P5_full_matrix,planning_bots5_high_basic,1330580062,planning,basic,5,high,1,0,1200,0.2273,217,28,6396.84,0.0355,4.514594316482544
P5_full_matrix,planning_bots5_high_basic,2017721449,planning,basic,5,high,1,0,1200,0.3,283,56,6158.63,0.0487,5.175044298171997
P5_full_matrix,planning_bots5_high_basic,1774594451,planning,basic,5,high,1,0,1200,0.3,501,26,5669.68,0.0529,4.572988271713257
P5_full_matrix,planning_bots5_high_basic,504344520,planning,basic,5,high,1,0,1200,0.4091,219,31,6186.87,0.0661,4.593051195144653
P5_full_matrix,planning_bots5_high_basic,1096100226,planning,basic,5,high,1,0,1200,0.3818,139,19,6420.37,0.0595,7.138566970825195
P5_full_matrix,planning_bots5_high_basic,347679489,planning,basic,5,high,1,0,1200,0.2,263,43,6017.32,0.0332,5.252573728561401
P5_full_matrix,planning_bots5_high_basic,1382730613,planning,basic,5,high,1,0,1200,0.3455,90,4,5721.6,0.0604,4.505630970001221
P5_full_matrix,planning_bots5_high_basic,97367218,planning,basic,5,high,1,0,1200,0.2364,399,18,6013.86,0.0393,8.644898891448975
P5_full_matrix,planning_bots5_high_basic,1622067617,planning,basic,5,high,1,0,1200,0.2818,444,12,6498.4,0.0434,6.271490097045898
P5_full_matrix,planning_bots5_high_basic,874152404,planning,basic,5,high,1,0,1200,0.1545,111,19,6120.71,0.0252,7.117326498031616
P5_full_matrix,planning_bots5_high_basic,1866052308,planning,basic,5,high,1,0,1200,0.2545,49,9,5276.92,0.0482,4.639145135879517
P5_full_matrix,planning_bots5_high_basic,1838270454,planning,basic,5,high,1,0,1200,0.2909,547,39,5526.17,0.0526,6.848367691040039
